Prompt: E = 4.29288, Q = 8808.75, Time = 2025-08-30 03:06:38.6
Delayed: E = 2.17872, Q = 4867.54, Time = 2025-08-30 14:40:26.8
Prompt: E = 4.81749, Q = 9786.16, Time = 2025-08-30 14:47:50.7
Delayed: E = 2.08058, Q = 4699.31, Time = 2025-08-30 14:47:50.7
Prompt: E = 5.20983, Q = 10142.2, Time = 2025-08-30 15:38:59.5
Delayed: E = 2.22607, Q = 4481.41, Time = 2025-08-30 15:38:59.5
Prompt: E = 1.43347, Q = 3120.05, Time = 2025-08-30 15:41:15.3
Delayed: E = 2.20584, Q = 4621.38, Time = 2025-08-30 15:41:15.3
Prompt: E = 1.3271, Q = 3205.3, Time = 2025-08-30 16:09:28.1
Delayed: E = 2.21794, Q = 4838.39, Time = 2025-08-30 16:09:28.1
Prompt: E = 1.37088, Q = 2871.57, Time = 2025-08-30 16:30:43.8
Delayed: E = 2.29474, Q = 4635.66, Time = 2025-08-30 16:30:43.8
Prompt: E = 4.13552, Q = 8473.39, Time = 2025-08-30 18:43:05.2
Delayed: E = 2.14896, Q = 4610.42, Time = 2025-08-30 18:43:05.2
Prompt: E = 3.14497, Q = 6639.22, Time = 2025-08-30 18:56:55.4
Delayed: E = 2.23769, Q = 4861.66, Time = 2025-08-30 18:56:55.4
Prompt: E = 1.17002, Q = 2639.05, Time = 2025-08-30 19:04:09.1
Delayed: E = 2.11353, Q = 4488.97, Time = 2025-08-30 19:04:09.1
Prompt: E = 4.25975, Q = 8772.61, Time = 2025-08-30 19:20:17.6
Delayed: E = 2.19975, Q = 4628.37, Time = 2025-08-30 19:20:17.6
Prompt: E = 4.20621, Q = 8672.62, Time = 2025-08-30 19:24:33.7
Delayed: E = 2.14219, Q = 4599.77, Time = 2025-08-30 19:24:33.7
Prompt: E = 2.33991, Q = 4911.85, Time = 2025-08-30 19:45:23.0
Delayed: E = 2.25853, Q = 4736.17, Time = 2025-08-30 19:45:23.0
Prompt: E = 7.74161, Q = 15668.5, Time = 2025-08-30 20:02:46.3
Delayed: E = 2.19085, Q = 4622.83, Time = 2025-08-30 20:02:46.3
Prompt: E = 5.97031, Q = 12594.6, Time = 2025-08-30 20:52:35.2
Delayed: E = 2.30732, Q = 5056.1, Time = 2025-08-30 20:52:35.2
Prompt: E = 5.78339, Q = 11615.1, Time = 2025-08-30 21:03:14.0
Delayed: E = 2.21075, Q = 4644.6, Time = 2025-08-30 21:03:14.0
Prompt: E = 0.94183, Q = 2209.7, Time = 2025-08-30 21:35:47.9
Delayed: E = 2.2073, Q = 4665.96, Time = 2025-08-30 21:35:47.9
Prompt: E = 2.85435, Q = 5836.09, Time = 2025-08-30 21:42:32.7
Delayed: E = 2.27322, Q = 4632.83, Time = 2025-08-30 21:42:32.7
Prompt: E = 2.09618, Q = 4342.84, Time = 2025-08-30 21:57:33.2
Delayed: E = 2.14751, Q = 4520.23, Time = 2025-08-30 21:57:33.2
Prompt: E = 3.59634, Q = 7342.48, Time = 2025-08-30 23:22:16.0
Delayed: E = 2.21448, Q = 4741.69, Time = 2025-08-30 23:22:16.0
Prompt: E = 4.36649, Q = 8860.8, Time = 2025-08-30 23:38:13.3
Delayed: E = 2.24904, Q = 4759.83, Time = 2025-08-30 23:38:13.3
Prompt: E = 3.49747, Q = 7002.31, Time = 2025-08-30 23:51:58.4
Delayed: E = 2.21169, Q = 4328.69, Time = 2025-08-30 23:51:58.4
Prompt: E = 4.67179, Q = 9510.55, Time = 2025-08-31 00:27:56.4
Delayed: E = 2.293, Q = 4926.19, Time = 2025-08-31 00:27:56.4
Prompt: E = 3.43664, Q = 6912.82, Time = 2025-08-31 00:31:53.2
Delayed: E = 2.16371, Q = 4514.62, Time = 2025-08-31 00:31:53.2
Prompt: E = 4.82758, Q = 9381.72, Time = 2025-08-31 00:50:26.2
Delayed: E = 2.28984, Q = 4620.59, Time = 2025-08-31 00:50:26.2
Prompt: E = 7.28631, Q = 14531.3, Time = 2025-08-31 01:08:05.8
Delayed: E = 2.21572, Q = 4664.95, Time = 2025-08-31 01:08:05.8
Prompt: E = 3.59944, Q = 7688.14, Time = 2025-08-31 01:54:34.3
Delayed: E = 2.23275, Q = 4988.45, Time = 2025-08-31 01:54:34.3
Prompt: E = 5.85647, Q = 11496.4, Time = 2025-08-31 03:27:26.0
Delayed: E = 2.26227, Q = 4618.94, Time = 2025-08-31 03:27:26.0
Prompt: E = 4.13911, Q = 8156.61, Time = 2025-08-31 04:27:13.0
Delayed: E = 2.27943, Q = 4634.52, Time = 2025-08-31 04:27:13.0
Prompt: E = 4.11232, Q = 8142.97, Time = 2025-08-31 05:08:28.2
Delayed: E = 2.15121, Q = 4356.99, Time = 2025-08-31 05:08:28.2
Prompt: E = 3.8205, Q = 8047.46, Time = 2025-08-31 05:38:01.6
Delayed: E = 2.19932, Q = 4854.22, Time = 2025-08-31 05:38:01.6
Prompt: E = 4.2073, Q = 8579.68, Time = 2025-08-31 10:30:29.6
Delayed: E = 2.14001, Q = 4485.74, Time = 2025-08-31 10:30:29.6
Prompt: E = 6.68285, Q = 13456.5, Time = 2025-08-31 11:09:14.8
Delayed: E = 2.27418, Q = 4909.04, Time = 2025-08-31 11:09:14.8
Prompt: E = 6.92609, Q = 14148.7, Time = 2025-08-31 11:18:36.0
Delayed: E = 2.27122, Q = 4920.75, Time = 2025-08-31 11:18:36.0
Prompt: E = 8.2267, Q = 16867, Time = 2025-08-31 12:32:14.2
Delayed: E = 2.20233, Q = 4838.09, Time = 2025-08-31 12:32:14.2
Prompt: E = 3.90677, Q = 7846.79, Time = 2025-08-31 12:50:00.9
Delayed: E = 2.23642, Q = 4691.66, Time = 2025-08-31 12:50:00.9
Prompt: E = 4.92723, Q = 10002.9, Time = 2025-08-31 13:21:18.9
Delayed: E = 2.13298, Q = 4583.41, Time = 2025-08-31 13:21:18.9
Prompt: E = 3.5163, Q = 7422.69, Time = 2025-08-31 13:47:06.5
Delayed: E = 2.13405, Q = 4521.67, Time = 2025-08-31 13:47:06.5
Prompt: E = 5.31327, Q = 10572.7, Time = 2025-08-31 14:14:48.8
Delayed: E = 2.32923, Q = 4940.73, Time = 2025-08-31 14:14:48.8
Prompt: E = 7.00542, Q = 13641.9, Time = 2025-08-31 14:46:54.2
Delayed: E = 2.40225, Q = 4794, Time = 2025-08-31 14:46:54.2
Prompt: E = 3.72838, Q = 8110, Time = 2025-08-31 15:12:09.4
Delayed: E = 2.24866, Q = 4973.09, Time = 2025-08-31 15:12:09.4
Prompt: E = 2.83201, Q = 5955.89, Time = 2025-08-31 15:37:52.5
Delayed: E = 2.19777, Q = 4595.82, Time = 2025-08-31 15:37:52.5
Prompt: E = 2.92916, Q = 6181.76, Time = 2025-08-31 15:38:49.1
Delayed: E = 2.27696, Q = 4925.35, Time = 2025-08-31 15:38:49.1
Prompt: E = 5.31536, Q = 11313, Time = 2025-08-31 15:44:06.7
Delayed: E = 2.24285, Q = 4948.99, Time = 2025-08-31 15:44:06.7
Prompt: E = 4.0321, Q = 8746.9, Time = 2025-08-31 16:33:13.1
Delayed: E = 2.2468, Q = 4935.69, Time = 2025-08-31 16:33:13.1
Prompt: E = 3.79397, Q = 7733.04, Time = 2025-08-31 17:52:13.7
Delayed: E = 2.1847, Q = 4459.32, Time = 2025-08-31 17:52:13.7
Prompt: E = 4.77175, Q = 10170.3, Time = 2025-08-31 17:56:35.7
Delayed: E = 2.25159, Q = 4968.53, Time = 2025-08-31 17:56:35.7
Prompt: E = 5.55221, Q = 11318.4, Time = 2025-08-31 19:17:40.1
Delayed: E = 2.1819, Q = 4667.49, Time = 2025-08-31 19:17:40.1
Prompt: E = 5.38556, Q = 11403.9, Time = 2025-08-31 20:43:25.2
Delayed: E = 2.03296, Q = 4510.19, Time = 2025-08-31 20:43:25.2
Prompt: E = 4.33611, Q = 8789.94, Time = 2025-08-31 21:11:57.7
Delayed: E = 2.33372, Q = 4979.69, Time = 2025-08-31 21:11:57.7
Prompt: E = 4.50317, Q = 9519.06, Time = 2025-08-31 21:19:35.8
Delayed: E = 2.12647, Q = 4740.5, Time = 2025-08-31 21:19:35.8
Prompt: E = 4.83888, Q = 10067.6, Time = 2025-08-31 21:21:17.1
Delayed: E = 2.22342, Q = 4784.95, Time = 2025-08-31 21:21:17.1
Prompt: E = 3.55496, Q = 7176.89, Time = 2025-08-31 21:32:36.4
Delayed: E = 2.29592, Q = 4804.9, Time = 2025-08-31 21:32:36.4
Prompt: E = 2.65364, Q = 5414, Time = 2025-08-31 23:27:44.1
Delayed: E = 2.19912, Q = 4660.84, Time = 2025-08-31 23:27:44.1
Prompt: E = 1.17814, Q = 2761.23, Time = 2025-08-31 23:42:51.0
Delayed: E = 2.25273, Q = 4822.25, Time = 2025-08-31 23:42:51.0
Prompt: E = 2.85605, Q = 6268.83, Time = 2025-09-01 02:31:53.2
Delayed: E = 2.24354, Q = 5020.82, Time = 2025-09-01 02:31:53.2
Prompt: E = 4.73717, Q = 9178.02, Time = 2025-09-01 02:56:51.2
Delayed: E = 2.22232, Q = 4518.56, Time = 2025-09-01 02:56:51.2
Prompt: E = 1.17387, Q = 2595.16, Time = 2025-09-01 04:14:26.4
Delayed: E = 2.19134, Q = 4656.02, Time = 2025-09-01 04:14:26.4
Prompt: E = 1.9824, Q = 4275.57, Time = 2025-09-01 06:36:02.0
Delayed: E = 2.18918, Q = 4562.91, Time = 2025-09-01 06:36:02.0
Prompt: E = 6.23502, Q = 11850.4, Time = 2025-09-01 07:07:55.8
Delayed: E = 2.2128, Q = 4342.61, Time = 2025-09-01 07:07:55.8
Prompt: E = 3.70717, Q = 8008.41, Time = 2025-09-01 07:13:36.7
Delayed: E = 2.19533, Q = 4943.81, Time = 2025-09-01 07:13:36.7
Prompt: E = 5.05603, Q = 10409.6, Time = 2025-09-01 07:40:26.8
Delayed: E = 2.28913, Q = 4857.1, Time = 2025-09-01 07:40:26.8
Prompt: E = 5.20001, Q = 10149.1, Time = 2025-09-01 07:55:33.2
Delayed: E = 2.2071, Q = 4674.7, Time = 2025-09-01 07:55:33.2
Prompt: E = 4.82129, Q = 9797.43, Time = 2025-09-01 08:44:45.3
Delayed: E = 2.2305, Q = 4886.93, Time = 2025-09-01 08:44:45.3
Prompt: E = 2.69244, Q = 5593.78, Time = 2025-09-01 08:53:08.1
Delayed: E = 2.19737, Q = 4626.69, Time = 2025-09-01 08:53:08.1
Prompt: E = 3.09804, Q = 6297.7, Time = 2025-09-01 09:42:46.4
Delayed: E = 2.1516, Q = 4393.33, Time = 2025-09-01 09:42:46.4
Prompt: E = 2.51965, Q = 5302.32, Time = 2025-09-01 09:54:38.7
Delayed: E = 2.2299, Q = 4693.06, Time = 2025-09-01 09:54:38.7
Prompt: E = 4.55901, Q = 9053.42, Time = 2025-09-01 10:17:10.6
Delayed: E = 2.18863, Q = 4540.71, Time = 2025-09-01 10:17:10.6
Prompt: E = 3.92939, Q = 7955.26, Time = 2025-09-01 10:53:23.2
Delayed: E = 2.234, Q = 4667.53, Time = 2025-09-01 10:53:23.2
Prompt: E = 6.93981, Q = 13604.2, Time = 2025-09-01 11:09:06.2
Delayed: E = 2.28126, Q = 4585.73, Time = 2025-09-01 11:09:06.2
Prompt: E = 2.51872, Q = 5283.54, Time = 2025-09-01 11:52:34.1
Delayed: E = 2.05028, Q = 4462.87, Time = 2025-09-01 11:52:34.1
Prompt: E = 5.09247, Q = 10727.2, Time = 2025-09-01 14:03:29.6
Delayed: E = 2.25474, Q = 4972.53, Time = 2025-09-01 14:03:29.6
Prompt: E = 2.71064, Q = 5498.66, Time = 2025-09-01 14:18:57.1
Delayed: E = 2.18113, Q = 4549.82, Time = 2025-09-01 14:18:57.1
Prompt: E = 4.58209, Q = 8909.6, Time = 2025-09-01 14:48:35.3
Delayed: E = 2.25803, Q = 4559.94, Time = 2025-09-01 14:48:35.3
Prompt: E = 4.95261, Q = 9827, Time = 2025-09-01 15:12:13.6
Delayed: E = 2.34806, Q = 4834.44, Time = 2025-09-01 15:12:13.6
Prompt: E = 3.45485, Q = 7109.91, Time = 2025-09-01 15:20:31.4
Delayed: E = 2.16888, Q = 4552.15, Time = 2025-09-01 15:20:31.4
Prompt: E = 4.50626, Q = 8993.55, Time = 2025-09-01 16:45:37.7
Delayed: E = 2.21905, Q = 4680.38, Time = 2025-09-01 16:45:37.7
Prompt: E = 5.61575, Q = 10942, Time = 2025-09-01 17:29:27.3
Delayed: E = 2.30088, Q = 4693.42, Time = 2025-09-01 17:29:27.3
Prompt: E = 1.404, Q = 3081.15, Time = 2025-09-01 18:00:09.6
Delayed: E = 2.32253, Q = 4746.89, Time = 2025-09-01 18:00:09.6
Prompt: E = 5.44857, Q = 11543.7, Time = 2025-09-01 18:10:27.0
Delayed: E = 2.19034, Q = 4828.05, Time = 2025-09-01 18:10:27.0
Prompt: E = 2.94714, Q = 5974.97, Time = 2025-09-01 18:19:17.9
Delayed: E = 2.41391, Q = 4554.23, Time = 2025-09-01 18:19:17.9
Prompt: E = 5.14858, Q = 10883.5, Time = 2025-09-01 18:43:04.6
Delayed: E = 2.25147, Q = 4937.99, Time = 2025-09-01 18:43:04.6
Prompt: E = 1.12306, Q = 2503.92, Time = 2025-09-01 21:01:24.1
Delayed: E = 2.20989, Q = 4535.92, Time = 2025-09-01 21:01:24.1
Prompt: E = 4.89217, Q = 9651.16, Time = 2025-09-01 21:46:25.9
Delayed: E = 2.25501, Q = 4649.43, Time = 2025-09-01 21:46:25.9
Prompt: E = 2.65089, Q = 5430.61, Time = 2025-09-01 21:53:28.8
Delayed: E = 2.17692, Q = 4591.66, Time = 2025-09-01 21:53:28.8
Prompt: E = 3.47275, Q = 7428.11, Time = 2025-09-01 22:04:40.0
Delayed: E = 2.21161, Q = 4774.77, Time = 2025-09-01 22:04:40.0
Prompt: E = 5.9118, Q = 12563.2, Time = 2025-09-01 22:10:38.9
Delayed: E = 2.2594, Q = 5094.96, Time = 2025-09-01 22:10:38.9
Prompt: E = 3.66465, Q = 7499.9, Time = 2025-09-01 22:16:20.5
Delayed: E = 2.28901, Q = 4958.84, Time = 2025-09-01 22:16:20.5
Prompt: E = 3.33951, Q = 6665.89, Time = 2025-09-01 23:17:37.9
Delayed: E = 2.2532, Q = 4701.59, Time = 2025-09-01 23:17:37.9
Prompt: E = 2.57706, Q = 5302.5, Time = 2025-09-01 23:38:55.2
Delayed: E = 2.1722, Q = 4521.47, Time = 2025-09-01 23:38:55.2
Prompt: E = 4.21972, Q = 8839.65, Time = 2025-09-02 00:22:15.4
Delayed: E = 2.21842, Q = 4821.12, Time = 2025-09-02 00:22:15.4
Prompt: E = 6.11083, Q = 12503.9, Time = 2025-09-02 00:22:37.0
Delayed: E = 2.21042, Q = 4762.54, Time = 2025-09-02 00:22:37.0
Prompt: E = 2.89403, Q = 5918.39, Time = 2025-09-02 01:00:59.6
Delayed: E = 2.22346, Q = 4628.99, Time = 2025-09-02 01:00:59.6
Prompt: E = 6.16303, Q = 12611.6, Time = 2025-09-02 01:37:03.2
Delayed: E = 2.23226, Q = 4889.88, Time = 2025-09-02 01:37:03.2
Prompt: E = 5.28773, Q = 10250.5, Time = 2025-09-02 02:23:14.3
Delayed: E = 2.25655, Q = 4510.52, Time = 2025-09-02 02:23:14.3
Prompt: E = 2.62468, Q = 5558.89, Time = 2025-09-02 02:49:41.8
Delayed: E = 2.34187, Q = 4941.99, Time = 2025-09-02 02:49:41.8
Prompt: E = 4.91849, Q = 10367.3, Time = 2025-09-02 03:47:10.0
Delayed: E = 2.21278, Q = 4924.79, Time = 2025-09-02 03:47:10.0
Prompt: E = 2.01509, Q = 4194.38, Time = 2025-09-02 04:13:26.2
Delayed: E = 2.29724, Q = 4803.1, Time = 2025-09-02 04:13:26.2
Prompt: E = 4.68306, Q = 9816.03, Time = 2025-09-02 04:29:11.3
Delayed: E = 2.31483, Q = 5016.12, Time = 2025-09-02 04:29:11.3
Prompt: E = 2.91582, Q = 5872.17, Time = 2025-09-02 04:32:41.1
Delayed: E = 2.31554, Q = 4711.21, Time = 2025-09-02 04:32:41.1
Prompt: E = 3.69887, Q = 7566.27, Time = 2025-09-02 05:09:34.8
Delayed: E = 2.04391, Q = 4274.98, Time = 2025-09-02 05:09:34.8
Prompt: E = 6.0958, Q = 12313.3, Time = 2025-09-02 05:13:58.1
Delayed: E = 2.18574, Q = 4949.52, Time = 2025-09-02 05:13:58.1
Prompt: E = 3.65236, Q = 7549.95, Time = 2025-09-02 05:20:54.5
Delayed: E = 2.25211, Q = 4728.37, Time = 2025-09-02 05:20:54.5
Prompt: E = 4.19953, Q = 8137.62, Time = 2025-09-02 05:52:57.5
Delayed: E = 2.32618, Q = 4648.18, Time = 2025-09-02 05:52:57.5
Prompt: E = 3.19713, Q = 6857.08, Time = 2025-09-02 07:07:27.3
Delayed: E = 2.2083, Q = 4961.31, Time = 2025-09-02 07:07:27.3
Prompt: E = 2.72441, Q = 5826.08, Time = 2025-09-02 07:23:44.5
Delayed: E = 2.20334, Q = 4872.67, Time = 2025-09-02 07:23:44.5
Prompt: E = 4.236, Q = 8608.41, Time = 2025-09-02 07:35:23.3
Delayed: E = 2.24928, Q = 4550.94, Time = 2025-09-02 07:35:23.3
Prompt: E = 9.91074, Q = 19792.4, Time = 2025-09-02 07:49:18.6
Delayed: E = 2.28307, Q = 4945.98, Time = 2025-09-02 07:49:18.6
Prompt: E = 1.62023, Q = 3652.12, Time = 2025-09-02 07:51:45.5
Delayed: E = 2.2309, Q = 4946.45, Time = 2025-09-02 07:51:45.5
Prompt: E = 6.29223, Q = 12534.9, Time = 2025-09-02 08:07:55.0
Delayed: E = 2.31541, Q = 4802.68, Time = 2025-09-02 08:07:55.0
Prompt: E = 3.67341, Q = 7519.11, Time = 2025-09-02 08:18:17.5
Delayed: E = 2.15373, Q = 4451.93, Time = 2025-09-02 08:18:17.5
Prompt: E = 2.72479, Q = 5625.17, Time = 2025-09-02 08:18:21.5
Delayed: E = 2.25537, Q = 4673.05, Time = 2025-09-02 08:18:21.5
Prompt: E = 4.29224, Q = 8379.95, Time = 2025-09-02 08:18:41.6
Delayed: E = 2.27721, Q = 4748.62, Time = 2025-09-02 08:18:41.6
Prompt: E = 4.08586, Q = 8548.08, Time = 2025-09-02 09:48:03.9
Delayed: E = 2.31074, Q = 4995.29, Time = 2025-09-02 09:48:03.9
Prompt: E = 2.81468, Q = 5688.72, Time = 2025-09-02 09:58:45.2
Delayed: E = 2.25101, Q = 4680.26, Time = 2025-09-02 09:58:45.2
Prompt: E = 3.76731, Q = 7679.62, Time = 2025-09-02 10:06:49.4
Delayed: E = 2.36802, Q = 4991.28, Time = 2025-09-02 10:06:49.4
Prompt: E = 5.08327, Q = 9674.71, Time = 2025-09-02 10:19:26.4
Delayed: E = 2.24296, Q = 4406.7, Time = 2025-09-02 10:19:26.4
Prompt: E = 1.89433, Q = 4078.26, Time = 2025-09-02 10:28:59.5
Delayed: E = 2.22985, Q = 4953.44, Time = 2025-09-02 10:28:59.5
Prompt: E = 5.46788, Q = 10291.8, Time = 2025-09-02 10:38:54.1
Delayed: E = 2.12389, Q = 4299.01, Time = 2025-09-02 10:38:54.1
Prompt: E = 4.95298, Q = 10150, Time = 2025-09-02 10:55:55.4
Delayed: E = 2.24953, Q = 4885.58, Time = 2025-09-02 10:55:55.4
Prompt: E = 4.08358, Q = 8452.97, Time = 2025-09-02 11:00:05.0
Delayed: E = 2.34659, Q = 4950.44, Time = 2025-09-02 11:00:05.0
Prompt: E = 2.86422, Q = 5897.95, Time = 2025-09-02 12:19:18.7
Delayed: E = 2.17314, Q = 4674.22, Time = 2025-09-02 12:19:18.7
Prompt: E = 4.49491, Q = 9215.85, Time = 2025-09-02 12:59:37.3
Delayed: E = 2.21157, Q = 4817.09, Time = 2025-09-02 12:59:37.3
Prompt: E = 3.09499, Q = 6236.45, Time = 2025-09-02 13:07:02.1
Delayed: E = 2.2708, Q = 4670.09, Time = 2025-09-02 13:07:02.1
Prompt: E = 5.20963, Q = 11053.3, Time = 2025-09-02 13:33:10.3
Delayed: E = 2.20653, Q = 4904.74, Time = 2025-09-02 13:33:10.3
Prompt: E = 4.10548, Q = 7874.75, Time = 2025-09-02 13:55:42.0
Delayed: E = 2.20951, Q = 4613.96, Time = 2025-09-02 13:55:42.0
Prompt: E = 5.21347, Q = 10701.1, Time = 2025-09-02 14:10:48.4
Delayed: E = 2.19643, Q = 4664.14, Time = 2025-09-02 14:10:48.4
Prompt: E = 4.38701, Q = 9410.18, Time = 2025-09-02 14:21:19.0
Delayed: E = 2.21347, Q = 4829.93, Time = 2025-09-02 14:21:19.0
Prompt: E = 3.51458, Q = 7301.84, Time = 2025-09-02 14:41:19.2
Delayed: E = 2.24961, Q = 4812.36, Time = 2025-09-02 14:41:19.2
Prompt: E = 5.98868, Q = 12796.5, Time = 2025-09-02 14:56:52.1
Delayed: E = 2.15344, Q = 4676.61, Time = 2025-09-02 14:56:52.1
Prompt: E = 1.6642, Q = 3597.12, Time = 2025-09-02 15:30:34.9
Delayed: E = 2.10561, Q = 4730.42, Time = 2025-09-02 15:30:34.9
Prompt: E = 6.49878, Q = 13743.3, Time = 2025-09-02 15:50:50.4
Delayed: E = 2.34467, Q = 5242.17, Time = 2025-09-02 15:50:50.4
Prompt: E = 7.10539, Q = 13958.9, Time = 2025-09-02 16:27:58.3
Delayed: E = 2.20547, Q = 4529.58, Time = 2025-09-02 16:27:58.3
Prompt: E = 1.59945, Q = 3400.11, Time = 2025-09-02 16:39:49.7
Delayed: E = 2.30982, Q = 4825.98, Time = 2025-09-02 16:39:49.7
Prompt: E = 2.75965, Q = 5929.99, Time = 2025-09-02 17:06:38.0
Delayed: E = 2.3352, Q = 4935.43, Time = 2025-09-02 17:06:38.0
Prompt: E = 5.91237, Q = 12338.9, Time = 2025-09-02 19:52:34.3
Delayed: E = 2.28255, Q = 4996.7, Time = 2025-09-02 19:52:34.3
Prompt: E = 4.53895, Q = 9466.98, Time = 2025-09-02 20:11:04.9
Delayed: E = 2.34328, Q = 5013.65, Time = 2025-09-02 20:11:04.9
Prompt: E = 5.21447, Q = 10555.1, Time = 2025-09-02 21:36:30.9
Delayed: E = 2.21838, Q = 4770.92, Time = 2025-09-02 21:36:30.9
Prompt: E = 7.20187, Q = 14995.2, Time = 2025-09-02 22:12:52.8
Delayed: E = 2.17708, Q = 4848.78, Time = 2025-09-02 22:12:52.8
Prompt: E = 5.04144, Q = 10144.1, Time = 2025-09-02 22:27:35.0
Delayed: E = 2.31202, Q = 4623.11, Time = 2025-09-02 22:27:35.0
Prompt: E = 3.74202, Q = 7815.58, Time = 2025-09-02 22:43:43.1
Delayed: E = 2.27208, Q = 4927.82, Time = 2025-09-02 22:43:43.1
Prompt: E = 1.92674, Q = 4219.08, Time = 2025-09-02 23:21:17.6
Delayed: E = 2.22831, Q = 4654.94, Time = 2025-09-02 23:21:17.6
Prompt: E = 4.70355, Q = 9611.38, Time = 2025-09-02 23:25:37.0
Delayed: E = 2.27493, Q = 4956.13, Time = 2025-09-02 23:25:37.0
Prompt: E = 2.64038, Q = 5264.5, Time = 2025-09-02 23:38:30.5
Delayed: E = 2.32688, Q = 4820.55, Time = 2025-09-02 23:38:30.5
Prompt: E = 3.47959, Q = 7197.63, Time = 2025-09-03 00:44:17.8
Delayed: E = 2.12751, Q = 4562.27, Time = 2025-09-03 00:44:17.8
Prompt: E = 6.00379, Q = 12077.8, Time = 2025-09-03 00:53:52.1
Delayed: E = 2.2601, Q = 4824.72, Time = 2025-09-03 00:53:52.1
Prompt: E = 5.5568, Q = 10845.5, Time = 2025-09-03 01:26:51.6
Delayed: E = 2.36639, Q = 4850.83, Time = 2025-09-03 01:26:51.6
Prompt: E = 2.25373, Q = 4683.46, Time = 2025-09-03 01:30:49.7
Delayed: E = 2.19335, Q = 4590.73, Time = 2025-09-03 01:30:49.7
Prompt: E = 4.75609, Q = 9429.3, Time = 2025-09-03 01:34:00.4
Delayed: E = 2.15819, Q = 4366.61, Time = 2025-09-03 01:34:00.4
Prompt: E = 3.09501, Q = 6308.55, Time = 2025-09-03 01:36:18.2
Delayed: E = 2.33225, Q = 4936.91, Time = 2025-09-03 01:36:18.2
Prompt: E = 3.45416, Q = 6813.78, Time = 2025-09-03 01:39:36.9
Delayed: E = 2.25124, Q = 4447.24, Time = 2025-09-03 01:39:36.9
Prompt: E = 2.63335, Q = 5827.05, Time = 2025-09-03 02:08:30.6
Delayed: E = 2.22018, Q = 4969.13, Time = 2025-09-03 02:08:30.6
Prompt: E = 2.44678, Q = 5282.98, Time = 2025-09-03 02:31:41.8
Delayed: E = 2.28879, Q = 5031.69, Time = 2025-09-03 02:31:41.8
Prompt: E = 2.95075, Q = 6407.83, Time = 2025-09-03 02:59:35.1
Delayed: E = 2.32879, Q = 5087.46, Time = 2025-09-03 02:59:35.1
Prompt: E = 5.08007, Q = 10711.1, Time = 2025-09-03 03:01:56.1
Delayed: E = 2.32249, Q = 5119.66, Time = 2025-09-03 03:01:56.1
Prompt: E = 5.35825, Q = 11217.2, Time = 2025-09-03 03:45:17.9
