Prompt: E = 4.29288, Time = 2025-08-30 03:06:38.6
Prompt: E = 3.14497, Time = 2025-08-30 18:56:55.4
Delayed: E = 2.23769, Time = 2025-08-30 18:56:55.4
Prompt: E = 1.17002, Time = 2025-08-30 19:04:09.1
Delayed: E = 2.11353, Time = 2025-08-30 19:04:09.1
Prompt: E = 4.25975, Time = 2025-08-30 19:20:17.6
Delayed: E = 2.19975, Time = 2025-08-30 19:20:17.6
Prompt: E = 4.20621, Time = 2025-08-30 19:24:33.7
Delayed: E = 2.14219, Time = 2025-08-30 19:24:33.7
Prompt: E = 2.33991, Time = 2025-08-30 19:45:23.0
Delayed: E = 2.25853, Time = 2025-08-30 19:45:23.0
Prompt: E = 7.74161, Time = 2025-08-30 20:02:46.3
Delayed: E = 2.19085, Time = 2025-08-30 20:02:46.3
Prompt: E = 5.97031, Time = 2025-08-30 20:52:35.2
Delayed: E = 2.30732, Time = 2025-08-30 20:52:35.2
Prompt: E = 5.78339, Time = 2025-08-30 21:03:14.0
Delayed: E = 2.21075, Time = 2025-08-30 21:03:14.0
Prompt: E = 0.94183, Time = 2025-08-30 21:35:47.9
Delayed: E = 2.2073, Time = 2025-08-30 21:35:47.9
Prompt: E = 2.85435, Time = 2025-08-30 21:42:32.7
Delayed: E = 2.27322, Time = 2025-08-30 21:42:32.7
Prompt: E = 2.09618, Time = 2025-08-30 21:57:33.2
Delayed: E = 2.14751, Time = 2025-08-30 21:57:33.2
Prompt: E = 3.59634, Time = 2025-08-30 23:22:16.0
Delayed: E = 2.21448, Time = 2025-08-30 23:22:16.0
Prompt: E = 4.36649, Time = 2025-08-30 23:38:13.3
Delayed: E = 2.24904, Time = 2025-08-30 23:38:13.3
Prompt: E = 3.49747, Time = 2025-08-30 23:51:58.4
Delayed: E = 2.21169, Time = 2025-08-30 23:51:58.4
Prompt: E = 4.67179, Time = 2025-08-31 00:27:56.4
Delayed: E = 2.293, Time = 2025-08-31 00:27:56.4
Prompt: E = 3.43664, Time = 2025-08-31 00:31:53.2
Delayed: E = 2.16371, Time = 2025-08-31 00:31:53.2
Prompt: E = 4.82758, Time = 2025-08-31 00:50:26.2
Delayed: E = 2.28984, Time = 2025-08-31 00:50:26.2
Prompt: E = 7.28631, Time = 2025-08-31 01:08:05.8
Delayed: E = 2.21572, Time = 2025-08-31 01:08:05.8
Prompt: E = 3.59944, Time = 2025-08-31 01:54:34.3
Delayed: E = 2.23275, Time = 2025-08-31 01:54:34.3
Prompt: E = 5.85647, Time = 2025-08-31 03:27:26.0
Delayed: E = 2.26227, Time = 2025-08-31 03:27:26.0
Prompt: E = 4.13911, Time = 2025-08-31 04:27:13.0
Delayed: E = 2.27943, Time = 2025-08-31 04:27:13.0
Prompt: E = 4.11232, Time = 2025-08-31 05:08:28.2
Delayed: E = 2.15121, Time = 2025-08-31 05:08:28.2
Prompt: E = 8.58709, Time = 2025-08-31 05:28:54.1
Delayed: E = 2.17691, Time = 2025-08-31 05:28:54.1
Prompt: E = 3.8205, Time = 2025-08-31 05:38:01.6
Delayed: E = 2.19932, Time = 2025-08-31 05:38:01.6
Prompt: E = 3.66068, Time = 2025-08-31 09:59:29.3
Delayed: E = 2.23857, Time = 2025-08-31 09:59:29.3
Prompt: E = 4.2073, Time = 2025-08-31 10:30:29.6
Delayed: E = 2.14001, Time = 2025-08-31 10:30:29.6
Prompt: E = 6.68285, Time = 2025-08-31 11:09:14.8
Delayed: E = 2.27418, Time = 2025-08-31 11:09:14.8
Prompt: E = 8.2267, Time = 2025-08-31 12:32:14.2
Delayed: E = 2.20233, Time = 2025-08-31 12:32:14.2
Prompt: E = 3.90677, Time = 2025-08-31 12:50:00.9
Delayed: E = 2.23642, Time = 2025-08-31 12:50:00.9
Prompt: E = 4.92723, Time = 2025-08-31 13:21:18.9
Delayed: E = 2.13298, Time = 2025-08-31 13:21:18.9
Prompt: E = 3.5163, Time = 2025-08-31 13:47:06.5
Delayed: E = 2.13405, Time = 2025-08-31 13:47:06.5
Prompt: E = 5.31327, Time = 2025-08-31 14:14:48.8
Delayed: E = 2.32923, Time = 2025-08-31 14:14:48.8
Prompt: E = 7.00542, Time = 2025-08-31 14:46:54.2
Delayed: E = 2.40225, Time = 2025-08-31 14:46:54.2
Prompt: E = 3.72838, Time = 2025-08-31 15:12:09.4
Delayed: E = 2.24866, Time = 2025-08-31 15:12:09.4
Prompt: E = 2.45271, Time = 2025-08-31 15:20:35.3
Delayed: E = 2.38868, Time = 2025-08-31 15:20:35.3
Prompt: E = 2.83201, Time = 2025-08-31 15:37:52.5
Delayed: E = 2.19777, Time = 2025-08-31 15:37:52.5
Prompt: E = 2.92916, Time = 2025-08-31 15:38:49.1
Delayed: E = 2.27696, Time = 2025-08-31 15:38:49.1
Prompt: E = 5.31536, Time = 2025-08-31 15:44:06.7
Delayed: E = 2.24285, Time = 2025-08-31 15:44:06.7
Prompt: E = 4.0321, Time = 2025-08-31 16:33:13.1
Delayed: E = 2.2468, Time = 2025-08-31 16:33:13.1
Prompt: E = 3.79397, Time = 2025-08-31 17:52:13.7
Delayed: E = 2.1847, Time = 2025-08-31 17:52:13.7
Prompt: E = 4.77175, Time = 2025-08-31 17:56:35.7
Delayed: E = 2.25159, Time = 2025-08-31 17:56:35.7
Prompt: E = 6.06013, Time = 2025-08-31 18:12:02.6
Delayed: E = 2.22324, Time = 2025-08-31 18:12:02.6
Prompt: E = 5.55221, Time = 2025-08-31 19:17:40.1
Delayed: E = 2.1819, Time = 2025-08-31 19:17:40.1
Prompt: E = 5.38556, Time = 2025-08-31 20:43:25.2
Delayed: E = 2.03296, Time = 2025-08-31 20:43:25.2
Prompt: E = 4.33611, Time = 2025-08-31 21:11:57.7
Delayed: E = 2.33372, Time = 2025-08-31 21:11:57.7
Prompt: E = 4.50317, Time = 2025-08-31 21:19:35.8
Delayed: E = 2.12647, Time = 2025-08-31 21:19:35.8
Prompt: E = 4.83888, Time = 2025-08-31 21:21:17.1
Delayed: E = 2.22342, Time = 2025-08-31 21:21:17.1
Prompt: E = 3.55496, Time = 2025-08-31 21:32:36.4
Delayed: E = 2.29592, Time = 2025-08-31 21:32:36.4
Prompt: E = 4.7907, Time = 2025-08-31 22:57:02.0
Delayed: E = 2.21109, Time = 2025-08-31 22:57:02.0
Prompt: E = 2.65364, Time = 2025-08-31 23:27:44.1
Delayed: E = 2.19912, Time = 2025-08-31 23:27:44.1
Prompt: E = 1.17814, Time = 2025-08-31 23:42:51.0
Delayed: E = 2.25273, Time = 2025-08-31 23:42:51.0
Prompt: E = 2.85605, Time = 2025-09-01 02:31:53.2
Delayed: E = 2.24354, Time = 2025-09-01 02:31:53.2
Prompt: E = 4.73717, Time = 2025-09-01 02:56:51.2
Delayed: E = 2.22232, Time = 2025-09-01 02:56:51.2
Prompt: E = 1.17387, Time = 2025-09-01 04:14:26.4
Delayed: E = 2.19134, Time = 2025-09-01 04:14:26.4
Prompt: E = 1.9824, Time = 2025-09-01 06:36:02.0
Delayed: E = 2.18918, Time = 2025-09-01 06:36:02.0
Prompt: E = 3.70717, Time = 2025-09-01 07:13:36.7
Delayed: E = 2.19533, Time = 2025-09-01 07:13:36.7
Prompt: E = 5.05603, Time = 2025-09-01 07:40:26.8
Delayed: E = 2.28913, Time = 2025-09-01 07:40:26.8
Prompt: E = 5.20001, Time = 2025-09-01 07:55:33.2
Delayed: E = 2.2071, Time = 2025-09-01 07:55:33.2
Prompt: E = 4.82129, Time = 2025-09-01 08:44:45.3
Delayed: E = 2.2305, Time = 2025-09-01 08:44:45.3
Prompt: E = 2.69244, Time = 2025-09-01 08:53:08.1
Delayed: E = 2.19737, Time = 2025-09-01 08:53:08.1
Prompt: E = 3.09804, Time = 2025-09-01 09:42:46.4
Delayed: E = 2.1516, Time = 2025-09-01 09:42:46.4
Prompt: E = 2.51965, Time = 2025-09-01 09:54:38.7
Delayed: E = 2.2299, Time = 2025-09-01 09:54:38.7
Prompt: E = 4.55901, Time = 2025-09-01 10:17:10.6
Delayed: E = 2.18863, Time = 2025-09-01 10:17:10.6
Prompt: E = 3.92939, Time = 2025-09-01 10:53:23.2
Delayed: E = 2.234, Time = 2025-09-01 10:53:23.2
Prompt: E = 6.93981, Time = 2025-09-01 11:09:06.2
Delayed: E = 2.28126, Time = 2025-09-01 11:09:06.2
Prompt: E = 2.51872, Time = 2025-09-01 11:52:34.1
Delayed: E = 2.05028, Time = 2025-09-01 11:52:34.1
Prompt: E = 5.09247, Time = 2025-09-01 14:03:29.6
Delayed: E = 2.25474, Time = 2025-09-01 14:03:29.6
Prompt: E = 2.71064, Time = 2025-09-01 14:18:57.1
Delayed: E = 2.18113, Time = 2025-09-01 14:18:57.1
Prompt: E = 4.58209, Time = 2025-09-01 14:48:35.3
Delayed: E = 2.25803, Time = 2025-09-01 14:48:35.3
Prompt: E = 4.95261, Time = 2025-09-01 15:12:13.6
Delayed: E = 2.34806, Time = 2025-09-01 15:12:13.6
Prompt: E = 3.45485, Time = 2025-09-01 15:20:31.4
Delayed: E = 2.16888, Time = 2025-09-01 15:20:31.4
Prompt: E = 4.50626, Time = 2025-09-01 16:45:37.7
Delayed: E = 2.21905, Time = 2025-09-01 16:45:37.7
Prompt: E = 5.61575, Time = 2025-09-01 17:29:27.3
Delayed: E = 2.30088, Time = 2025-09-01 17:29:27.3
Prompt: E = 1.404, Time = 2025-09-01 18:00:09.6
Delayed: E = 2.32253, Time = 2025-09-01 18:00:09.6
Prompt: E = 5.44857, Time = 2025-09-01 18:10:27.0
Delayed: E = 2.19034, Time = 2025-09-01 18:10:27.0
Prompt: E = 2.94714, Time = 2025-09-01 18:19:17.9
Delayed: E = 2.41391, Time = 2025-09-01 18:19:17.9
Prompt: E = 5.14858, Time = 2025-09-01 18:43:04.6
Delayed: E = 2.25147, Time = 2025-09-01 18:43:04.6
Prompt: E = 1.12306, Time = 2025-09-01 21:01:24.1
Delayed: E = 2.20989, Time = 2025-09-01 21:01:24.1
Prompt: E = 4.89217, Time = 2025-09-01 21:46:25.9
Delayed: E = 2.25501, Time = 2025-09-01 21:46:25.9
Prompt: E = 2.65089, Time = 2025-09-01 21:53:28.8
Delayed: E = 2.17692, Time = 2025-09-01 21:53:28.8
Prompt: E = 3.47275, Time = 2025-09-01 22:04:40.0
Delayed: E = 2.21161, Time = 2025-09-01 22:04:40.0
Prompt: E = 5.9118, Time = 2025-09-01 22:10:38.9
Delayed: E = 2.2594, Time = 2025-09-01 22:10:38.9
Prompt: E = 3.66465, Time = 2025-09-01 22:16:20.5
Delayed: E = 2.28901, Time = 2025-09-01 22:16:20.5
Prompt: E = 3.33951, Time = 2025-09-01 23:17:37.9
Delayed: E = 2.2532, Time = 2025-09-01 23:17:37.9
Prompt: E = 2.57706, Time = 2025-09-01 23:38:55.2
Delayed: E = 2.1722, Time = 2025-09-01 23:38:55.2
Prompt: E = 4.21972, Time = 2025-09-02 00:22:15.4
Delayed: E = 2.21842, Time = 2025-09-02 00:22:15.4
Prompt: E = 6.11083, Time = 2025-09-02 00:22:37.0
Delayed: E = 2.21042, Time = 2025-09-02 00:22:37.0
Prompt: E = 2.89403, Time = 2025-09-02 01:00:59.6
Delayed: E = 2.22346, Time = 2025-09-02 01:00:59.6
Prompt: E = 6.16303, Time = 2025-09-02 01:37:03.2
Delayed: E = 2.23226, Time = 2025-09-02 01:37:03.2
Prompt: E = 5.28773, Time = 2025-09-02 02:23:14.3
Delayed: E = 2.25655, Time = 2025-09-02 02:23:14.3
Prompt: E = 2.62468, Time = 2025-09-02 02:49:41.8
Delayed: E = 2.34187, Time = 2025-09-02 02:49:41.8
Prompt: E = 4.91849, Time = 2025-09-02 03:47:10.0
Delayed: E = 2.21278, Time = 2025-09-02 03:47:10.0
Prompt: E = 2.01509, Time = 2025-09-02 04:13:26.2
Delayed: E = 2.29724, Time = 2025-09-02 04:13:26.2
Prompt: E = 4.68306, Time = 2025-09-02 04:29:11.3
Delayed: E = 2.31483, Time = 2025-09-02 04:29:11.3
Prompt: E = 3.69887, Time = 2025-09-02 05:09:34.8
Delayed: E = 2.04391, Time = 2025-09-02 05:09:34.8
Prompt: E = 6.0958, Time = 2025-09-02 05:13:58.1
Delayed: E = 2.18574, Time = 2025-09-02 05:13:58.1
Prompt: E = 3.65236, Time = 2025-09-02 05:20:54.5
Delayed: E = 2.25211, Time = 2025-09-02 05:20:54.5
Prompt: E = 4.19953, Time = 2025-09-02 05:52:57.5
Delayed: E = 2.32618, Time = 2025-09-02 05:52:57.5
Prompt: E = 3.19713, Time = 2025-09-02 07:07:27.3
Delayed: E = 2.2083, Time = 2025-09-02 07:07:27.3
Prompt: E = 2.72441, Time = 2025-09-02 07:23:44.5
Delayed: E = 2.20334, Time = 2025-09-02 07:23:44.5
Prompt: E = 4.236, Time = 2025-09-02 07:35:23.3
Delayed: E = 2.24928, Time = 2025-09-02 07:35:23.3
Prompt: E = 9.91074, Time = 2025-09-02 07:49:18.6
Delayed: E = 2.28307, Time = 2025-09-02 07:49:18.6
Prompt: E = 1.62023, Time = 2025-09-02 07:51:45.5
Delayed: E = 2.2309, Time = 2025-09-02 07:51:45.5
Prompt: E = 6.29223, Time = 2025-09-02 08:07:55.0
Delayed: E = 2.31541, Time = 2025-09-02 08:07:55.0
Prompt: E = 3.67341, Time = 2025-09-02 08:18:17.5
Delayed: E = 2.15373, Time = 2025-09-02 08:18:17.5
Prompt: E = 2.72479, Time = 2025-09-02 08:18:21.5
Delayed: E = 2.25537, Time = 2025-09-02 08:18:21.5
Prompt: E = 4.29224, Time = 2025-09-02 08:18:41.6
Delayed: E = 2.27721, Time = 2025-09-02 08:18:41.6
Prompt: E = 4.08586, Time = 2025-09-02 09:48:03.9
Delayed: E = 2.31074, Time = 2025-09-02 09:48:03.9
Prompt: E = 2.81468, Time = 2025-09-02 09:58:45.2
Delayed: E = 2.25101, Time = 2025-09-02 09:58:45.2
Prompt: E = 3.76731, Time = 2025-09-02 10:06:49.4
Delayed: E = 2.36802, Time = 2025-09-02 10:06:49.4
Prompt: E = 5.08327, Time = 2025-09-02 10:19:26.4
Delayed: E = 2.24296, Time = 2025-09-02 10:19:26.4
Prompt: E = 1.89433, Time = 2025-09-02 10:28:59.5
Delayed: E = 2.22985, Time = 2025-09-02 10:28:59.5
Prompt: E = 4.95298, Time = 2025-09-02 10:55:55.4
Delayed: E = 2.24953, Time = 2025-09-02 10:55:55.4
Prompt: E = 4.08358, Time = 2025-09-02 11:00:05.0
Delayed: E = 2.34659, Time = 2025-09-02 11:00:05.0
Prompt: E = 2.86422, Time = 2025-09-02 12:19:18.7
Delayed: E = 2.17314, Time = 2025-09-02 12:19:18.7
Prompt: E = 4.49491, Time = 2025-09-02 12:59:37.3
Delayed: E = 2.21157, Time = 2025-09-02 12:59:37.3
Prompt: E = 3.09499, Time = 2025-09-02 13:07:02.1
Delayed: E = 2.2708, Time = 2025-09-02 13:07:02.1
Prompt: E = 5.20963, Time = 2025-09-02 13:33:10.3
Delayed: E = 2.20653, Time = 2025-09-02 13:33:10.3
Prompt: E = 4.10548, Time = 2025-09-02 13:55:42.0
Delayed: E = 2.20951, Time = 2025-09-02 13:55:42.0
Prompt: E = 5.21347, Time = 2025-09-02 14:10:48.4
Delayed: E = 2.19643, Time = 2025-09-02 14:10:48.4
Prompt: E = 4.38701, Time = 2025-09-02 14:21:19.0
Delayed: E = 2.21347, Time = 2025-09-02 14:21:19.0
Prompt: E = 3.51458, Time = 2025-09-02 14:41:19.2
Delayed: E = 2.24961, Time = 2025-09-02 14:41:19.2
Prompt: E = 5.98868, Time = 2025-09-02 14:56:52.1
Delayed: E = 2.15344, Time = 2025-09-02 14:56:52.1
Prompt: E = 1.6642, Time = 2025-09-02 15:30:34.9
Delayed: E = 2.10561, Time = 2025-09-02 15:30:34.9
Prompt: E = 6.49878, Time = 2025-09-02 15:50:50.4
Delayed: E = 2.34467, Time = 2025-09-02 15:50:50.4
Prompt: E = 7.10539, Time = 2025-09-02 16:27:58.3
Delayed: E = 2.20547, Time = 2025-09-02 16:27:58.3
Prompt: E = 2.75965, Time = 2025-09-02 17:06:38.0
Delayed: E = 2.3352, Time = 2025-09-02 17:06:38.0
Prompt: E = 5.91237, Time = 2025-09-02 19:52:34.3
Delayed: E = 2.28255, Time = 2025-09-02 19:52:34.3
Prompt: E = 4.53895, Time = 2025-09-02 20:11:04.9
Delayed: E = 2.34328, Time = 2025-09-02 20:11:04.9
Prompt: E = 5.21447, Time = 2025-09-02 21:36:30.9
Delayed: E = 2.21838, Time = 2025-09-02 21:36:30.9
Prompt: E = 7.20187, Time = 2025-09-02 22:12:52.8
Delayed: E = 2.17708, Time = 2025-09-02 22:12:52.8
Prompt: E = 5.04144, Time = 2025-09-02 22:27:35.0
Delayed: E = 2.31202, Time = 2025-09-02 22:27:35.0
Prompt: E = 3.74202, Time = 2025-09-02 22:43:43.1
Delayed: E = 2.27208, Time = 2025-09-02 22:43:43.1
Prompt: E = 1.92674, Time = 2025-09-02 23:21:17.6
Delayed: E = 2.22831, Time = 2025-09-02 23:21:17.6
Prompt: E = 4.70355, Time = 2025-09-02 23:25:37.0
Delayed: E = 2.27493, Time = 2025-09-02 23:25:37.0
Prompt: E = 2.64038, Time = 2025-09-02 23:38:30.5
Delayed: E = 2.32688, Time = 2025-09-02 23:38:30.5
Prompt: E = 3.47959, Time = 2025-09-03 00:44:17.8
Delayed: E = 2.12751, Time = 2025-09-03 00:44:17.8
Prompt: E = 6.00379, Time = 2025-09-03 00:53:52.1
Delayed: E = 2.2601, Time = 2025-09-03 00:53:52.1
Prompt: E = 5.5568, Time = 2025-09-03 01:26:51.6
Delayed: E = 2.36639, Time = 2025-09-03 01:26:51.6
Prompt: E = 2.25373, Time = 2025-09-03 01:30:49.7
Delayed: E = 2.19335, Time = 2025-09-03 01:30:49.7
Prompt: E = 3.09501, Time = 2025-09-03 01:36:18.2
Delayed: E = 2.33225, Time = 2025-09-03 01:36:18.2
Prompt: E = 3.45416, Time = 2025-09-03 01:39:36.9
Delayed: E = 2.25124, Time = 2025-09-03 01:39:36.9
Prompt: E = 2.63335, Time = 2025-09-03 02:08:30.6
Delayed: E = 2.22018, Time = 2025-09-03 02:08:30.6
Prompt: E = 2.44678, Time = 2025-09-03 02:31:41.8
Delayed: E = 2.28879, Time = 2025-09-03 02:31:41.8
Prompt: E = 2.95075, Time = 2025-09-03 02:59:35.1
Delayed: E = 2.32879, Time = 2025-09-03 02:59:35.1
Prompt: E = 5.08007, Time = 2025-09-03 03:01:56.1
Delayed: E = 2.32249, Time = 2025-09-03 03:01:56.1
Prompt: E = 5.35825, Time = 2025-09-03 03:45:17.9
Delayed: E = 2.21941, Time = 2025-09-03 03:45:17.9
Prompt: E = 3.80174, Time = 2025-09-03 04:17:26.7
Delayed: E = 2.24385, Time = 2025-09-03 04:17:26.7
Prompt: E = 3.86251, Time = 2025-09-03 04:26:59.9
Delayed: E = 2.17548, Time = 2025-09-03 04:26:59.9
Prompt: E = 5.28844, Time = 2025-09-03 04:43:47.5
Delayed: E = 2.17425, Time = 2025-09-03 04:43:47.5
Prompt: E = 4.12941, Time = 2025-09-03 08:55:04.6
Delayed: E = 2.24356, Time = 2025-09-03 08:55:04.6
Prompt: E = 10.2077, Time = 2025-09-03 09:22:55.8
Delayed: E = 2.28853, Time = 2025-09-03 09:22:55.8
Prompt: E = 7.12826, Time = 2025-09-03 09:27:27.7
Delayed: E = 2.10858, Time = 2025-09-03 09:27:27.7
Prompt: E = 4.78117, Time = 2025-09-03 09:47:43.0
Delayed: E = 2.33578, Time = 2025-09-03 09:47:43.0
Prompt: E = 2.52742, Time = 2025-09-03 10:39:42.6
Delayed: E = 2.30597, Time = 2025-09-03 10:39:42.6
Prompt: E = 6.65225, Time = 2025-09-03 10:44:08.8
Delayed: E = 2.32291, Time = 2025-09-03 10:44:08.8
Prompt: E = 6.8345, Time = 2025-09-03 10:45:56.6
Delayed: E = 2.17433, Time = 2025-09-03 10:45:56.6
Prompt: E = 1.43418, Time = 2025-09-03 11:27:37.3
Delayed: E = 2.19548, Time = 2025-09-03 11:27:37.3
Prompt: E = 5.85167, Time = 2025-09-03 11:56:17.8
Delayed: E = 2.25375, Time = 2025-09-03 11:56:17.8
Prompt: E = 5.25391, Time = 2025-09-03 13:03:30.6
Delayed: E = 2.26849, Time = 2025-09-03 13:03:30.6
Prompt: E = 4.51987, Time = 2025-09-03 13:05:48.7
Delayed: E = 2.23578, Time = 2025-09-03 13:05:48.7
Prompt: E = 6.0314, Time = 2025-09-03 13:16:47.6
Delayed: E = 2.23457, Time = 2025-09-03 13:16:47.6
Prompt: E = 3.6343, Time = 2025-09-03 14:38:29.1
Delayed: E = 2.19435, Time = 2025-09-03 14:38:29.1
Prompt: E = 4.59705, Time = 2025-09-03 15:00:24.3
Delayed: E = 2.22942, Time = 2025-09-03 15:00:24.3
Prompt: E = 3.3364, Time = 2025-09-03 15:19:34.9
Delayed: E = 2.28284, Time = 2025-09-03 15:19:34.9
Prompt: E = 2.73844, Time = 2025-09-03 15:30:20.9
Delayed: E = 2.1988, Time = 2025-09-03 15:30:20.9
Prompt: E = 5.91009, Time = 2025-09-03 15:35:39.0
Delayed: E = 2.18033, Time = 2025-09-03 15:35:39.0
Prompt: E = 9.88723, Time = 2025-09-03 15:35:39.3
Delayed: E = 2.30238, Time = 2025-09-03 15:35:39.3
Prompt: E = 4.33539, Time = 2025-09-03 15:47:53.7
Delayed: E = 2.19726, Time = 2025-09-03 15:47:53.7
Prompt: E = 5.69387, Time = 2025-09-03 15:52:27.5
Delayed: E = 2.08841, Time = 2025-09-03 15:52:27.5
Prompt: E = 3.81587, Time = 2025-09-03 16:01:20.1
Delayed: E = 2.16241, Time = 2025-09-03 16:01:20.1
Prompt: E = 5.5169, Time = 2025-09-03 16:04:28.0
Delayed: E = 2.23585, Time = 2025-09-03 16:04:28.0
Prompt: E = 3.21207, Time = 2025-09-03 18:07:33.3
Delayed: E = 2.25453, Time = 2025-09-03 18:07:33.3
Prompt: E = 5.51775, Time = 2025-09-03 18:18:23.8
Delayed: E = 2.34134, Time = 2025-09-03 18:18:23.8
Prompt: E = 4.63525, Time = 2025-09-03 19:21:32.2
Delayed: E = 2.24191, Time = 2025-09-03 19:21:32.2
Prompt: E = 3.7801, Time = 2025-09-03 21:37:33.5
Delayed: E = 2.2034, Time = 2025-09-03 21:37:33.5
Prompt: E = 2.63479, Time = 2025-09-03 21:55:42.2
Delayed: E = 2.30048, Time = 2025-09-03 21:55:42.2
Prompt: E = 4.33649, Time = 2025-09-03 22:03:28.9
Delayed: E = 2.16066, Time = 2025-09-03 22:03:28.9
Prompt: E = 3.60559, Time = 2025-09-03 22:55:59.7
Delayed: E = 2.21456, Time = 2025-09-03 22:55:59.7
Prompt: E = 6.49907, Time = 2025-09-04 00:17:42.5
Delayed: E = 2.29426, Time = 2025-09-04 00:17:42.5
Prompt: E = 4.50188, Time = 2025-09-04 00:52:22.5
Delayed: E = 2.23671, Time = 2025-09-04 00:52:22.5
Prompt: E = 1.90135, Time = 2025-09-04 00:52:26.0
Delayed: E = 2.21072, Time = 2025-09-04 00:52:26.0
Prompt: E = 3.13887, Time = 2025-09-04 01:31:57.8
Delayed: E = 2.20839, Time = 2025-09-04 01:31:57.8
Prompt: E = 2.46425, Time = 2025-09-04 01:56:43.9
Delayed: E = 2.21467, Time = 2025-09-04 01:56:43.9
Prompt: E = 3.71295, Time = 2025-09-04 02:47:28.7
Delayed: E = 2.20049, Time = 2025-09-04 02:47:28.7
Prompt: E = 2.35212, Time = 2025-09-04 02:47:38.8
Delayed: E = 2.26087, Time = 2025-09-04 02:47:38.8
Prompt: E = 5.04883, Time = 2025-09-04 02:55:08.2
Delayed: E = 2.26099, Time = 2025-09-04 02:55:08.2
Prompt: E = 0.991678, Time = 2025-09-04 02:59:35.5
Delayed: E = 2.24829, Time = 2025-09-04 02:59:35.5
Prompt: E = 1.28659, Time = 2025-09-04 03:06:22.8
Delayed: E = 2.35219, Time = 2025-09-04 03:06:22.8
Prompt: E = 4.7305, Time = 2025-09-04 03:30:35.7
Delayed: E = 2.27653, Time = 2025-09-04 03:30:35.7
Prompt: E = 3.78269, Time = 2025-09-04 03:40:38.4
Delayed: E = 2.25491, Time = 2025-09-04 03:40:38.4
Prompt: E = 4.39708, Time = 2025-09-04 04:53:44.0
Delayed: E = 2.25282, Time = 2025-09-04 04:53:44.0
Prompt: E = 5.82251, Time = 2025-09-04 06:01:49.8
Delayed: E = 2.19711, Time = 2025-09-04 06:01:49.8
Prompt: E = 2.54971, Time = 2025-09-04 06:17:54.6
Delayed: E = 2.21421, Time = 2025-09-04 06:17:54.6
Prompt: E = 6.8882, Time = 2025-09-04 07:14:29.5
Delayed: E = 2.19502, Time = 2025-09-04 07:14:29.5
